Kommun;AverageIncomeYearThousandsCrowns;Population
0114 Upplands V?sby;283,9;46786
0115 Vallentuna;312,2;34090
0117 ?ster?ker;337,2;45574
0120 V?rmd?;320,0;45000
0123 J?rf?lla;272,8;79990
0125 Eker?;372,0;28690
0126 Huddinge;277,8;112848
0127 Botkyrka;231,8;94606
0128 Salem;288,4;16750
0136 Haninge;260,2;92095
0138 Tyres?;303,7;48333
0139 Upplands-Bro;268,0;29346
0140 Nykvarn;300,7;11014
0160 T?by;377,6;71874
0162 Danderyd;662,9;32857
0163 Sollentuna;334,1;73857
0180 Stockholm;342,9;974073
0181 S?dert?lje;239,0;98979
0182 Nacka;376,0;105189
0183 Sundbyberg;290,9;52414
0184 Solna;308,8;82429
0186 Liding?;481,6;48123
0187 Vaxholm;356,1;12003
0188 Norrt?lje;261,9;62622
0191 Sigtuna;261,5;48964
0192 Nyn?shamn;259,6;28575
0305 H?bo;281,5;21934
0319 ?lvkarleby;228,9;9457
0330 Knivsta;307,0;18835
0331 Heby;232,7;14047
0360 Tierp;232,8;21136
0380 Uppsala;269,1;230767
0381 Enk?ping;262,3;45287
0382 ?sthammar;251,8;22250
0428 Ving?ker;226,2;9111
0461 Gnesta;257,7;11365
0480 Nyk?ping;258,9;56591
0481 Oxel?sund;235,9;11983
0482 Flen;221,6;16585
0483 Katrineholm;234,5;34755
0484 Eskilstuna;239,3;106859
0486 Str?ngn?s;278,8;36544
0488 Trosa;307,0;13747
0509 ?desh?g;231,3;5337
0512 Ydre;234,7;3747
0513 Kinda;243,2;9940
0560 Boxholm;242,2;5476
0561 ?tvidaberg;233,5;11503
0562 Finsp?ng;235,8;21912
0563 Valdemarsvik;217,3;7873
0580 Link?ping;265,4;163051
0581 Norrk?ping;264,1;143171
0582 S?derk?ping;277,4;14626
0583 Motala;239,9;43673
0584 Vadstena;254,7;7428
0586 Mj?lby;246,5;27758
0604 Aneby;242,5;6848
0617 Gnosj?;259,6;9712
0642 Mullsj?;241,1;7290
0643 Habo;280,5;12433
0662 Gislaved;249,6;29963
0665 Vaggeryd;253,6;14275
0680 J?nk?ping;265,5;141081
0682 N?ssj?;238,5;31538
0683 V?rnamo;260,2;34560
0684 S?vsj?;232,3;11677
0685 Vetlanda;245,2;27466
0686 Eksj?;244,2;17753
0687 Tran?s;233,5;19003
0760 Uppvidinge;232,1;9588
0761 Lessebo;218,1;8733
0763 Tingsryd;229,9;12393
0764 Alvesta;240,3;20134
0765 ?lmhult;260,9;17651
0767 Markaryd;229,3;10320
0780 V?xj?;305,4;94129
0781 Ljungby;238,7;28521
0821 H?gsby;211,8;5921
0834 Tors?s;230,6;7125
0840 M?rbyl?nga;258,8;15249
0860 Hultsfred;216,7;14224
0861 M?nster?s;237,1;13430
0862 Emmaboda;224,9;9445
0880 Kalmar;255,5;69467
0881 Nybro;222,1;20318
0882 Oskarshamn;251,0;27102
0883 V?stervik;236,0;36679
0884 Vimmerby;235,5;15647
0885 Borgholm;238,2;10839
0980 Gotland;238,5;59686
1060 Olofstr?m;227,9;13426
1080 Karlskrona;247,2;66622
1081 Ronneby;225,5;29633
1082 Karlshamn;243,3;32473
1083 S?lvesborg;241,2;17452
1214 Sval?v;242,7;14268
1230 Staffanstorp;282,2;25396
1231 Burl?v;232,7;19112
1233 Vellinge;354,3;36628
1256 ?stra G?inge;224,2;15007
1257 ?rkelljunga;228,6;10280
1260 Bjuv;221,0;15715
1261 K?vlinge;300,0;31705
1262 Lomma;357,2;24834
1263 Svedala;272,4;22229
1264 Skurup;246,3;15889
1265 Sj?bo;242,7;19226
1266 H?rby;236,3;15631
1267 H??r;249,5;16713
1270 Tomelilla;228,7;13617
1272 Brom?lla;230,8;12870
1273 Osby;232,4;13208
1275 Perstorp;217,2;7492
1276 Klippan;225,3;17756
1277 ?storp;225,7;15940
1278 B?stad;311,5;15128
1280 Malm?;239,3;344166
1281 Lund;269,8;124935
1282 Landskrona;236,9;46090
1283 Helsingborg;259,1;147734
1284 H?gan?s;293,7;26942
1285 Esl?v;244,2;33793
1286 Ystad;271,5;30541
1287 Trelleborg;250,0;45440
1290 Kristianstad;245,3;85747
1291 Simrishamn;248,4;19174
1292 ?ngelholm;269,9;42476
1293 H?ssleholm;236,8;52145
1315 Hylte;230,2;10815
1380 Halmstad;260,1;102767
1381 Laholm;248,3;25903
1382 Falkenberg;255,0;45367
1383 Varberg;278,0;64601
1384 Kungsbacka;320,8;84395
1401 H?rryda;307,6;37977
1402 Partille;298,6;39289
1407 ?cker?;295,1;12916
1415 Stenungsund;286,8;26777
1419 Tj?rn;288,2;16016
1421 Orust;253,8;15218
1427 Soten?s;296,7;9061
1430 Munkedal;225,3;10513
1435 Tanum;243,2;12841
1438 Dals-Ed;207,6;4813
1439 F?rgelanda;222,4;6637
1440 Ale;264,2;31402
1441 Lerum;305,9;42568
1442 V?rg?rda;246,4;11810
1443 Bollebygd;277,7;9495
1444 Gr?storp;262,6;5693
1445 Essunga;245,8;5654
1446 Karlsborg;235,5;6940
1447 Gullsp?ng;214,2;5280
1452 Tranemo;244,8;11936
1460 Bengtsfors;210,6;9750
1461 Mellerud;215,2;9310
1462 Lilla Edet;252,0;14109
1463 Mark;248,4;34754
1465 Svenljunga;237,2;10780
1466 Herrljunga;243,5;9464
1470 Vara;234,6;16024
1471 G?tene;245,3;13207
1472 Tibro;226,5;11240
1473 T?reboda;218,8;9293
1480 G?teborg;274,8;579281
1481 M?lndal;293,8;69364
1482 Kung?lv;297,6;46336
1484 Lysekil;243,3;14555
1485 Uddevalla;250,1;56703
1486 Str?mstad;231,2;13218
1487 V?nersborg;244,3;39591
1488 Trollh?ttan;247,1;59058
1489 Alings?s;271,8;41420
1490 Bor?s;259,3;113179
1491 Ulricehamn;258,5;24668
1492 ?m?l;213,8;12610
1493 Mariestad;238,6;24537
1494 Lidk?ping;256,4;40089
1495 Skara;244,5;18837
1496 Sk?vde;254,9;56366
1497 Hjo;248,4;9210
1498 Tidaholm;233,6;12846
1499 Falk?ping;234,5;33246
1715 Kil;242,2;12087
1730 Eda;205,7;8564
1737 Torsby;219,9;11616
1760 Storfors;221,4;4014
1761 Hammar?;281,1;16568
1762 Munkfors;208,1;3740
1763 Forshaga;226,1;11499
1764 Grums;225,4;9047
1765 ?rj?ng;200,1;10070
1766 Sunne;226,6;13306
1780 Karlstad;254,5;93898
1781 Kristinehamn;224,0;24255
1782 Filipstad;210,6;10644
1783 Hagfors;214,6;11606
1784 Arvika;228,0;26045
1785 S?ffle;215,8;15455
1814 Lekeberg;248,5;8234
1860 Lax?;223,9;5683
1861 Hallsberg;232,4;15932
1862 Degerfors;218,6;9666
1863 H?llefors;217,0;7013
1864 Ljusnarsberg;212,5;4771
1880 ?rebro;249,8;155696
1881 Kumla;244,4;21738
1882 Askersund;244,4;11377
1883 Karlskoga;235,5;30381
1884 Nora;235,8;10726
1885 Lindesberg;233,8;23588
1904 Skinnskatteberg;234,3;4393
1907 Surahammar;229,2;10106
1960 Kungs?r;232,9;8675
1961 Hallstahammar;234,2;16346
1962 Norberg;234,2;5690
1980 V?ster?s;267,5;154049
1981 Sala;235,3;22894
1982 Fagersta;232,9;13391
1983 K?ping;237,5;26214
1984 Arboga;236,1;14087
2021 Vansbro;218,8;6805
2023 Malung-S?len;231,8;10138
2026 Gagnef;238,4;10304
2029 Leksand;249,0;15807
2031 R?ttvik;233,6;10950
2034 Orsa;216,4;6911
2039 ?lvdalen;218,4;7031
2061 Smedjebacken;236,9;10894
2062 Mora;240,7;20470
2080 Falun;257,2;59406
2081 Borl?nge;234,3;52590
2082 S?ter;242,7;11093
2083 Hedemora;230,4;15491
2084 Avesta;233,7;23178
2085 Ludvika;230,1;26898
2101 Ockelbo;221,0;5908
2104 Hofors;229,5;9588
2121 Ovan?ker;219,9;11670
2132 Nordanstig;218,6;9477
2161 Ljusdal;221,0;18949
2180 G?vle;250,8;102418
2181 Sandviken;236,0;39234
2182 S?derhamn;226,7;25643
2183 Bolln?s;225,3;26888
2184 Hudiksvall;242,3;37607
2260 ?nge;219,8;9316
2262 Timr?;235,8;17979
2280 H?rn?sand;226,4;25183
2281 Sundsvall;256,2;99449
2282 Kramfors;219,6;18282
2283 Sollefte?;214,9;19140
2284 ?rnsk?ldsvik;247,9;55998
2303 Ragunda;207,0;5284
2305 Br?cke;210,6;6298
2309 Krokom;253,8;14966
2313 Str?msund;212,2;11605
2321 ?re;245,2;11727
2326 Berg;216,3;7061
2361 H?rjedalen;223,8;10090
2380 ?stersund;249,3;63779
2401 Nordmaling;222,3;7143
2403 Bjurholm;217,2;2408
2404 Vindeln;227,3;5423
2409 Robertsfors;226,8;6747
2417 Norsj?;214,3;3986
2418 Mal?;218,3;3068
2421 Storuman;213,9;5852
2422 Sorsele;214,2;2489
2425 Dorotea;207,6;2551
2460 V?nn?s;232,9;8872
2462 Vilhelmina;209,3;6668
2463 ?sele;208,0;2794
2480 Ume?;254,6;128901
2481 Lycksele;227,5;12245
2482 Skellefte?;246,5;72589
2505 Arvidsjaur;227,6;6220
2506 Arjeplog;227,5;2785
2510 Jokkmokk;225,8;4923
2513 ?verkalix;212,4;3315
2514 Kalix;230,2;15886
2518 ?vertorne?;210,4;4299
2521 Pajala;230,6;6052
2523 G?llivare;266,2;17529
2560 ?lvsbyn;223,7;8066
2580 Lule?;253,2;78105
2581 Pite?;245,8;42281
2582 Boden;236,7;28080
2583 Haparanda;205,6;9685
2584 Kiruna;262,4;22867
